address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
307 Central Ave,vans-vietnamese-restaurant-albany,['Vietnamese'],https://s3-media3.fl.yelpcdn.com/bphoto/kyc5ovrfYd76_8gmmSQ5dg/ls.jpg,Vanâs Vietnamese Restaurant,319.0,$$,4.0,https://www.yelp.com/biz/vans-vietnamese-restaurant-albany?osq=restaurants
218 Central Ave,taiwan-noodle-albany,"['Taiwanese', 'Dim Sum', 'Noodles']",https://s3-media3.fl.yelpcdn.com/bphoto/aZZeenaCQOVMkdKmruLpRw/ls.jpg,Taiwan Noodle,331.0,$,4.0,https://www.yelp.com/biz/taiwan-noodle-albany?osq=restaurants
1647 Central Ave,brazilian-steakhouse-colonie-2,['Brazilian'],https://s3-media4.fl.yelpcdn.com/bphoto/ghSKa_op8LRt37jUxDxQ7A/ls.jpg,Brazilian Steakhouse,14.0,,4.5,https://www.yelp.com/biz/brazilian-steakhouse-colonie-2?osq=restaurants
59 Wolf Rd,the-boil-shack-albany,"['Seafood', 'Cajun/Creole']",https://s3-media1.fl.yelpcdn.com/bphoto/Bj9MIi6_XLPywTHPHbMqsQ/ls.jpg,The Boil Shack,75.0,$$,3.5,https://www.yelp.com/biz/the-boil-shack-albany?osq=restaurants
288 Lark St,288-lark-wine-and-tap-albany,"['Italian', 'Wine Bars']",https://s3-media1.fl.yelpcdn.com/bphoto/V9UQKq795KfVanr4rt2SoA/ls.jpg,288 Lark Wine & Tap,10.0,,4.5,https://www.yelp.com/biz/288-lark-wine-and-tap-albany?osq=restaurants
1100 Madison Ave,madison-pour-house-albany,"['American New', 'Pubs']",https://s3-media3.fl.yelpcdn.com/bphoto/_q42sc4Zl8TCjfb0jkeCnQ/ls.jpg,Madison Pour House,125.0,$$,4.5,https://www.yelp.com/biz/madison-pour-house-albany?osq=restaurants
942 Broadway,lost-and-found-albany,"['American New', 'Pubs', 'Beer Gardens']",https://s3-media1.fl.yelpcdn.com/bphoto/6sjQSqI-cgZfy72MjfMiCA/ls.jpg,Lost & Found,55.0,$$,4.5,https://www.yelp.com/biz/lost-and-found-albany?osq=restaurants
227 Lark St,berben-and-wolffs-albany,"['Vegan', 'Vegetarian', 'Sandwiches']",https://s3-media3.fl.yelpcdn.com/bphoto/471TxUQRa1fobBVxoxTqKw/ls.jpg,Berben and Wolffâs,177.0,$$,4.5,https://www.yelp.com/biz/berben-and-wolffs-albany?osq=restaurants
49 Grand St,cafe-capriccio-albany,['Italian'],https://s3-media4.fl.yelpcdn.com/bphoto/xl-xQGkSEh8qc3seSuLPVg/ls.jpg,Cafe Capriccio,132.0,$$$,4.0,https://www.yelp.com/biz/cafe-capriccio-albany?osq=restaurants
8 Wolf Rd,hong-kong-bakery-and-bistro-albany,"['Dim Sum', 'Cantonese', 'Bakeries']",https://s3-media1.fl.yelpcdn.com/bphoto/kiPTCfVMDB_tvUT4TMPIZQ/ls.jpg,Hong Kong Bakery & Bistro,301.0,$$,4.0,https://www.yelp.com/biz/hong-kong-bakery-and-bistro-albany?osq=restaurants
1343 Central Ave,tengu-asian-bistro-albany-2,"['Japanese', 'Thai', 'Asian Fusion']",https://s3-media1.fl.yelpcdn.com/bphoto/SRqogq15urwfwLZ7u82tTg/ls.jpg,Tengu Asian Bistro,78.0,$$,4.5,https://www.yelp.com/biz/tengu-asian-bistro-albany-2?osq=restaurants
1814 Western Ave,athos-restaurant-albany,"['Greek', 'Mediterranean', 'Seafood']",https://s3-media4.fl.yelpcdn.com/bphoto/FPlMTDd0Wd7kuPDHwpjVMg/ls.jpg,Athos Restaurant,195.0,$$,4.0,https://www.yelp.com/biz/athos-restaurant-albany?osq=restaurants
